,episode steps,episode reward,accuracy
701,55566,-100.0,98.74
702,55575,-92.0,98.73
703,55589,-87.0,98.73
704,55725,35.0,98.73
705,55749,-77.0,98.73
706,56056,206.0,98.74
707,56193,36.0,98.74
708,56422,128.0,98.74
709,56555,32.0,98.74
710,56732,76.0,98.75
711,56792,-41.0,98.75
712,56816,-77.0,98.75
713,57129,212.0,98.75
714,57239,9.0,98.75
715,57557,217.0,98.76
716,57676,18.0,98.76
717,57800,23.0,98.76
718,57888,-13.0,98.76
719,58003,14.0,98.76
720,58006,-98.0,98.76
721,58364,257.0,98.76
722,58479,14.0,98.76
723,58670,90.0,98.77
724,58730,-41.0,98.77
725,58786,-45.0,98.76
726,58794,-93.0,98.76
727,58952,57.0,98.77
728,58981,-72.0,98.76
729,58986,-96.0,98.76
730,59018,-69.0,98.76
731,59142,23.0,98.76
732,59143,-100.0,98.76
733,59166,-78.0,98.76
734,59383,116.0,98.76
735,59384,-100.0,98.76
736,59421,-64.0,98.76
737,59427,-95.0,98.76
738,59468,-60.0,98.76
739,59469,-100.0,98.76
740,59600,30.0,98.76
741,59653,-48.0,98.76
742,59721,-33.0,98.76
743,59888,66.0,98.76
744,59897,-92.0,98.76
745,59954,-44.0,98.76
746,60002,-53.0,98.76
747,60229,126.0,98.76
748,60290,-40.0,98.76
749,60551,160.0,98.76
750,60664,12.0,98.76
751,61164,399.0,98.77
752,61231,-34.0,98.77
753,61363,31.0,98.77
754,61601,137.0,98.77
755,61889,187.0,98.78
756,61901,-89.0,98.78
757,61906,-96.0,98.78
758,61911,-96.0,98.77
759,61922,-90.0,98.77
760,61923,-100.0,98.77
761,61925,-99.0,98.77
762,61959,-67.0,98.77
763,62165,105.0,98.77
764,62207,-59.0,98.77
765,62247,-61.0,98.77
766,62248,-100.0,98.77
767,62271,-78.0,98.77
768,62398,26.0,98.77
769,62453,-46.0,98.77
770,62722,168.0,98.77
771,62901,78.0,98.77
772,63266,264.0,98.78
773,63417,50.0,98.78
774,63489,-29.0,98.78
775,63690,100.0,98.78
776,63796,5.0,98.78
777,63845,-52.0,98.78
778,63908,-38.0,98.78
779,63981,-28.0,98.78
780,63985,-97.0,98.78
781,64038,-48.0,98.78
782,64171,32.0,98.78
783,64237,-35.0,98.78
784,64249,-89.0,98.78
785,64255,-95.0,98.78
786,64312,-44.0,98.78
787,64342,-71.0,98.78
788,64432,-11.0,98.78
789,64710,177.0,98.78
790,64874,63.0,98.78
791,64905,-70.0,98.78
792,65249,243.0,98.78
793,65260,-90.0,98.78
794,65271,-90.0,98.78
795,65461,89.0,98.78
796,65473,-89.0,98.78
797,65515,-59.0,98.78
798,65516,-100.0,98.78
799,65671,54.0,98.78
800,65699,-73.0,98.78
801,66331,531.0,98.79
802,66444,12.0,98.79
803,66519,-26.0,98.79
804,66664,44.0,98.79
805,66665,-100.0,98.79
806,66919,153.0,98.79
807,66936,-84.0,98.79
808,67120,83.0,98.79
809,67278,57.0,98.8
810,67341,-38.0,98.8
811,67534,92.0,98.8
812,67537,-98.0,98.8
813,67614,-24.0,98.8
814,67623,-92.0,98.79
815,67897,173.0,98.8
816,67926,-72.0,98.8
817,68058,31.0,98.8
818,68254,95.0,98.8
819,68280,-75.0,98.8
820,68286,-95.0,98.8
821,68357,-30.0,98.8
822,68388,-70.0,98.8
823,68459,-30.0,98.8
824,68471,-89.0,98.8
825,68472,-100.0,98.79
826,68473,-100.0,98.79
827,68786,212.0,98.8
828,68790,-97.0,98.79
829,68854,-37.0,98.79
830,68984,29.0,98.8
831,69011,-74.0,98.79
832,69061,-51.0,98.79
833,69067,-95.0,98.79
834,69155,-13.0,98.79
835,69333,77.0,98.79
836,69339,-95.0,98.79
837,69402,-38.0,98.79
838,69609,106.0,98.79
839,69622,-88.0,98.79
840,69673,-50.0,98.79
841,69674,-100.0,98.79
842,69758,-17.0,98.79
843,69785,-74.0,98.79
844,69910,24.0,98.79
845,69961,-50.0,98.79
846,69963,-99.0,98.79
847,70153,89.0,98.79
848,70524,270.0,98.8
849,70950,325.0,98.8
850,70951,-100.0,98.8
851,71035,-17.0,98.8
852,71185,49.0,98.8
853,71252,-34.0,98.8
854,71254,-99.0,98.8
855,71255,-100.0,98.8
856,71315,-41.0,98.8
857,71485,69.0,98.8
858,71563,-23.0,98.8
859,71564,-100.0,98.8
860,71755,90.0,98.8
861,71838,-18.0,98.8
862,71920,-19.0,98.8
863,72391,370.0,98.81
864,72473,-19.0,98.81
865,72632,58.0,98.81
866,72707,-26.0,98.81
867,72708,-100.0,98.81
868,73127,318.0,98.81
869,73308,80.0,98.81
870,73611,202.0,98.82
871,73801,89.0,98.82
872,73894,-8.0,98.82
873,74072,77.0,98.82
874,74119,-54.0,98.82
875,74135,-85.0,98.82
876,74144,-92.0,98.82
877,74466,221.0,98.82
878,74653,86.0,98.82
879,74712,-42.0,98.82
880,74753,-60.0,98.82
881,74775,-79.0,98.82
882,74828,-48.0,98.82
883,74967,38.0,98.82
884,75076,8.0,98.82
885,75098,-79.0,98.82
886,75148,-51.0,98.82
887,75232,-17.0,98.82
888,75468,135.0,98.82
889,75598,29.0,98.82
890,75778,79.0,98.82
891,75779,-100.0,98.82
892,76019,139.0,98.83
893,76089,-31.0,98.83
894,76294,104.0,98.83
895,76320,-75.0,98.83
896,76356,-65.0,98.83
897,76712,255.0,98.83
898,76722,-91.0,98.83
899,76731,-92.0,98.83
900,77114,282.0,98.83
901,77496,281.0,98.84
902,77624,27.0,98.84
903,77625,-100.0,98.84
904,77669,-57.0,98.83
905,77827,57.0,98.84
906,77839,-89.0,98.83
907,78105,165.0,98.84
908,78106,-100.0,98.84
909,78387,180.0,98.84
910,78454,-34.0,98.84
911,78455,-100.0,98.84
