,step,episode reward,accuracy,100 eps mean,time
485,39692.0,13.0,98.66,154.8,4881.290000
486,39777.0,83.0,98.66,155.5,4891.640000
487,39843.0,64.0,98.66,155.6,4899.770000
488,39868.0,23.0,98.66,154.1,4902.900000
489,40082.0,212.0,98.66,153.8,4929.520000
490,40259.0,175.0,98.67,155.3,4951.220000
491,40299.0,38.0,98.67,154.9,4956.190000
492,40370.0,69.0,98.66,154.8,4964.870000
493,40486.0,114.0,98.67,155.5,4979.250000
494,40689.0,201.0,98.67,157.2,5004.100000
495,40933.0,242.0,98.68,159.2,5034.060000
496,41687.0,752.0,98.7,163.3,5126.700000
497,41759.0,70.0,98.7,163.7,5135.680000
498,41873.0,112.0,98.7,162.2,5149.720000
499,42012.0,137.0,98.7,161.7,5166.760000
500,42022.0,8.0,98.7,161.5,5167.990000
501,42065.0,41.0,98.7,161.6,5173.300000
502,42079.0,12.0,98.7,161.4,5175.050000
503,42123.0,42.0,98.69,155.7,5180.500000
504,42288.0,163.0,98.7,157.1,5200.790000
505,42296.0,6.0,98.69,155.2,5201.800000
506,42637.0,339.0,98.7,158.2,5243.900000
507,43291.0,652.0,98.72,164.5,5324.130000
508,43516.0,223.0,98.73,164.8,5351.630000
509,43689.0,171.0,98.73,166.4,5372.990000
510,43970.0,279.0,98.73,165.8,5407.470000
511,44150.0,178.0,98.74,160.2,5429.600000
512,44198.0,46.0,98.74,159.0,5435.610000
513,44324.0,124.0,98.74,157.7,5451.120000
514,44357.0,31.0,98.74,156.0,5455.170000
515,44747.0,388.0,98.75,158.2,5503.190000
516,44869.0,120.0,98.75,159.0,5518.350000
517,44883.0,12.0,98.74,157.2,5520.080000
518,44975.0,90.0,98.74,157.0,5531.420000
519,45010.0,33.0,98.74,153.7,5535.770000
520,45321.0,309.0,98.75,150.2,5573.930000
521,45363.0,40.0,98.75,149.4,5579.110000
522,45389.0,24.0,98.75,149.0,5582.260000
523,45473.0,82.0,98.75,148.6,5592.640000
524,45656.0,181.0,98.75,148.7,5615.190000
